,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
120,459,20/07/2013 03:52,20/07/2013 03:59,388,W 26 St & 10 Ave,40.74971775,-74.00295035,505,6 Ave & W 33 St,40.74901271,-73.98848395,15950,Subscriber,1988,1
121,680,20/07/2013 06:45,20/07/2013 06:56,388,W 26 St & 10 Ave,40.74971775,-74.00295035,529,W 42 St & 8 Ave,40.7575699,-73.99098507,20255,Customer,\N,0
122,899,20/07/2013 06:54,20/07/2013 07:09,504,1 Ave & E 15 St,40.73221853,-73.98165557,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16351,Subscriber,1976,1
123,388,20/07/2013 07:07,20/07/2013 07:14,505,6 Ave & W 33 St,40.74901271,-73.98848395,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15322,Subscriber,1974,1
124,228,20/07/2013 07:48,20/07/2013 07:52,521,8 Ave & W 31 St,40.75044999,-73.99481051,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16934,Subscriber,1972,1
125,1046,20/07/2013 07:55,20/07/2013 08:13,128,MacDougal St & Prince St,40.72710258,-74.00297088,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16260,Subscriber,1985,1
126,428,20/07/2013 08:11,20/07/2013 08:18,514,12 Ave & W 40 St,40.76087502,-74.00277668,388,W 26 St & 10 Ave,40.74971775,-74.00295035,18479,Subscriber,1976,2
127,200,20/07/2013 08:30,20/07/2013 08:33,212,W 16 St & The High Line,40.74334935,-74.00681753,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16024,Subscriber,1972,1
128,592,20/07/2013 08:32,20/07/2013 08:42,466,W 25 St & 6 Ave,40.74395411,-73.99144871,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16940,Customer,\N,0
129,924,20/07/2013 08:35,20/07/2013 08:50,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15360,Subscriber,1957,1
130,713,20/07/2013 09:01,20/07/2013 09:13,388,W 26 St & 10 Ave,40.74971775,-74.00295035,368,Carmine St & 6 Ave,40.73038599,-74.00214988,16260,Subscriber,1985,1
131,810,20/07/2013 09:16,20/07/2013 09:29,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,388,W 26 St & 10 Ave,40.74971775,-74.00295035,14991,Subscriber,1986,2
132,1136,20/07/2013 09:31,20/07/2013 09:49,469,Broadway & W 53 St,40.76344058,-73.98268129,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17551,Subscriber,1985,1
133,562,20/07/2013 09:42,20/07/2013 09:51,388,W 26 St & 10 Ave,40.74971775,-74.00295035,505,6 Ave & W 33 St,40.74901271,-73.98848395,15360,Subscriber,1957,1
134,1501,20/07/2013 09:45,20/07/2013 10:10,432,E 7 St & Avenue A,40.72621788,-73.98379855,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15613,Subscriber,1961,2
135,515,20/07/2013 09:45,20/07/2013 09:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15292,Subscriber,1958,1
136,935,20/07/2013 09:55,20/07/2013 10:11,499,Broadway & W 60 St,40.76915505,-73.98191841,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17444,Subscriber,1966,2
137,809,20/07/2013 10:03,20/07/2013 10:17,388,W 26 St & 10 Ave,40.74971775,-74.00295035,528,2 Ave & E 31 St,40.74290902,-73.97706058,16351,Subscriber,1984,2
138,1436,20/07/2013 10:07,20/07/2013 10:31,388,W 26 St & 10 Ave,40.74971775,-74.00295035,248,Laight St & Hudson St,40.72185379,-74.00771779,17732,Subscriber,1984,2
139,506,20/07/2013 10:10,20/07/2013 10:18,388,W 26 St & 10 Ave,40.74971775,-74.00295035,466,W 25 St & 6 Ave,40.74395411,-73.99144871,14991,Customer,\N,0
140,1332,20/07/2013 10:22,20/07/2013 10:44,483,E 12 St & 3 Ave,40.73223272,-73.98889957,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15069,Subscriber,1992,1
